樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
D0900301,水果類,酪梨(室溫存放3天),80,84.8,1.4,6.8,6.3,2.9,0,361,3,19,0,0.5,101,1.79,0.06,0.22,1.78,0.46,12.0
D0900401,水果類,酪梨(室溫存放6天),83,83.2,1.5,7.6,6.6,5.7,1,385,4,24,0,0.6,79,1.87,0.06,0.17,2.31,0.40,5.1
D1000101,水果類,榴槤,130,63.3,2.6,1.6,31.6,3.8,3,440,5,147,0.2,0.5,17,1.62,0.20,0.23,0.81,0.34,52.2
D1100101,水果類,突目1號鳳梨,55,84.4,0.6,0.2,14.5,1.0,0,191,4,7,0.3,0.4,0,0.09,0.10,0.03,0,0.13,10.9
D11002,水果類,鳳梨平均值(雜交種),51,85.2,0.7,0.1,13.6,1.1,0,162,10,12,0.3,0.4,29,0.04,0.08,0.04,0.20,0.15,12.0
D1100201,水果類,甘蔗鳳梨,55,83.8,0.7,0.1,15.1,1.4,0,122,9,14,0.4,0.4,0,0.03,0.06,0.04,0,0.12,11.7
D1100202,水果類,甜蜜蜜鳳梨,41,87.9,1.0,0.1,10.6,0.9,0,225,17,13,0.4,0.9,102,0.03,0.12,0.04,0.36,0.24,6.0
D1100203,水果類,金鑽鳳梨,49,85.8,0.5,0.1,13.2,1.1,1,133,5,12,0.1,0.2,15,0.04,0.07,0.03,0.03,0.10,23.5
D1100204,水果類,牛奶鳳梨,59,83.2,0.8,0.3,15.4,0.7,0,170,11,10,0.4,0.3,0,0.05,0.07,0.06,0.42,0.14,6.9
D1200101,水果類,釋迦,99,70,2.2,0.1,26.6,2.7,7,390,18,29,0.3,0.2,0,0,0.02,0.14,0.30,0.05,99.0
D1200201,水果類,鳳梨釋迦,99,71.5,1.5,0.4,26.0,1.7,2,258,15,26,0.5,0.2,0,0.16,0.10,0.10,0.67,0.21,27.3
D1300101,水果類,桑葚,30,91.0,1.1,0.4,7.0,1.3,1,180,41,11,0.4,0.2,54,1.95,0.03,0.08,0.85,0.04,9.2
D1330101,水果類,桑葚汁,25,92.7,0.8,0.2,5.9,0.4,0,141,27,10,0,0.3,50,0.66,0.02,0.05,0.94,0.03,8.6
D1400101,水果類,草莓,36,89.0,1.0,0.2,9.3,1.8,7,199,16,14,0.3,0.1,25,0.48,0.02,0.04,0.78,0.06,69.2
D1500101,水果類,土芭樂,31,88.8,0.7,0.1,10,5.0,5,150,4,6,0.1,0.2,155,0,0.03,0.01,0.50,0.03,80.7
D15002,水果類,芭樂平均值(白肉),33,88.9,0.7,0.1,9.8,3.3,2,146,8,5,0.2,0.3,51,0.25,0.03,0.03,0.74,0.11,137.9
D1500201,水果類,牛乳芭樂,28,89.8,0.5,0.1,8.5,3.3,0,98,6,3,0.3,0.5,0,0.21,0.03,0.03,0.64,0.07,145.5
D1500202,水果類,世紀芭樂,34,88.7,0.7,0.1,10.3,3.4,0,160,15,6,0.2,0.3,26,0.24,0.03,0.04,0.99,0.25,131.2
D1500203,水果類,珍珠芭樂,36,88.1,0.7,0.2,10.6,3.7,0,176,7,6,0.1,0.2,28,0.30,0.03,0.04,0.81,0.07,193.7
D1500204,水果類,泰國芭樂,34,89.0,0.8,0.1,9.7,3.0,5,150,4,6,0.1,0.2,150,0,0.03,0.01,0.50,0.03,81.0
D1500205,水果類,無子芭樂,29,90.4,0.7,0,8.6,2.9,0,115,4,5,0,3.5,57,0.14,0.03,0.02,0.52,0.05,93.1
D1500301,水果類,紅心芭樂,36,88.0,0.8,0.1,10.7,3.9,1,166,5,6,0.2,0.2,618,0.42,0.04,0.04,1.00,0.14,214.4
D16001,水果類,楊桃平均值,30,90.8,0.5,0.1,8.2,1.3,0,152,2,6,0.2,0.4,36,0.29,0.03,0.03,0.30,0.06,44.3
D1600101,水果類,楊桃(2月取樣),27,91.6,0.4,0.1,7.6,1.5,0,136,2,4,0.2,0.5,0,0.24,0.02,0.03,0.53,0.03,43.0
D1600102,水果類,楊桃(4月取樣),30,90.7,0.7,0.1,8.1,1.5,0,168,3,8,0.1,0.1,52,0.51,0.02,0.03,0.31,0.05,57.8
D1600103,水果類,楊桃(5月取樣),33,90.2,0.6,0.1,8.7,0.9,0,171,2,6,0,0.2,0,0.17,0.03,0.03,0.09,0.07,36.5
D1600104,水果類,楊桃(9月取樣),31,90.5,0.5,0,8.8,1.4,0,133,1,6,0.2,0.7,34,0.44,0.04,0.03,0.29,0.11,52.1
D1600105,水果類,楊桃(11月取樣),29,91.2,0.4,0,8.0,1.0,0,151,1,6,0.3,0.3,93,0.09,0.03,0.03,0.28,0.02,32.3
D1700101,水果類,美國紅葡萄,68,81.1,0.4,0.4,17.7,0.5,8,166,5,6,0.2,0,32,0.40,0.03,0.01,0.10,0.05,2.6
D1700201,水果類,巨峰葡萄,63,82.4,0.5,0.3,16.6,0.2,1,122,5,4,0.1,0.1,5,0.18,0.03,0.01,0.15,0.06,2.2
D17003,水果類,綠葡萄平均值,57,83.7,0.5,0.2,15.3,0.4,4,150,3,4,0.2,0.2,506,0.23,0.05,0.01,0.03,0.06,3.2
D1700301,水果類,美國綠葡萄,63,82.0,0.5,0.2,16.8,0.4,7,164,4,6,0.3,0.2,925,0.28,0.06,0.01,0.05,0.05,4.5
D1700302,水果類,意大利葡萄,51,85.5,0.5,0.1,13.7,0.4,0,136,2,3,0.2,0.2,71,0.18,0.04,0.01,0,0.07,1.9
D1700401,水果類,美國紅葡萄(含皮),60,82.7,0.4,0.1,16.3,0.8,1,214,7,6,0.7,0.3,0,0.38,0.04,0.02,0.10,0.11,1.6
D1700501,水果類,美國紫葡萄(含皮),79,77.3,0.4,0,21.9,0.7,1,228,7,7,0.8,0.3,24,0.40,0.05,0.03,0,0.07,3.8
D1700601,水果類,美國黑葡萄(含皮),61,82.4,0.6,0.2,16.4,0.8,0,213,9,6,0.6,0.3,15,0.54,0.07,0.02,0.10,0.11,2.6
D1700701,水果類,美國綠葡萄(含皮),86,75.5,0.6,0.4,22.7,0.8,1,264,10,8,0.3,0.2,9,0.53,0.06,0.02,0,0.09,5.3
D1700801,水果類,無子紅葡萄(含皮),71,79.9,0.5,0.1,19.2,0.6,3,194,12,8,0.3,0.4,89,0.34,0.04,0.02,0,0.06,4.0
D1700901,水果類,黑美人葡萄(含皮),65,81.6,0.5,0.1,17.4,0.5,0,187,8,7,0,0.6,368,0.23,0.05,0.01,0,0.05,1.8
D1701001,水果類,金香葡萄(含皮),59,83.0,0.6,0.1,16.0,0.5,0,205,7,6,0.4,0.1,6,0.80,0.05,0.02,0.13,0.09,4.1
D18001,水果類,蓮霧平均值(粉紅色種),34,90.1,0.4,0.2,9.0,0.8,2,95,3,6,0.1,0.2,10,0.17,0.03,0.02,0.43,0.03,10.0
D1800101,水果類,紅寶石蓮霧,32,91.1,0.3,0.3,8.1,0.7,2,83,2,5,0.1,0.3,16,0.20,0.04,0.01,0.03,0.08,7.6
D1800102,水果類,黑金剛蓮霧,32,90.3,0.5,0.1,8.8,0.9,1,95,4,5,0,0.2,0,0.14,0.03,0.03,1.17,0,10.1
D1800103,水果類,黑珍珠蓮霧,38,89.0,0.4,0.1,10.2,0.9,2,107,4,6,0.3,0,12,0.17,0.03,0.02,0.09,0.01,12.2
D1900101,水果類,華寶大西瓜(花蓮),32,90.6,0.7,0.1,8.4,0.7,1,116,17,10,0.3,0.5,379,0.06,0.05,0.03,0.19,0.04,7.9
D19002,水果類,西瓜平均值(紅肉小瓜),32,90.8,0.8,0.1,8.0,0.3,1,121,7,11,0.2,0.2,687,0.05,0.04,0.05,0.24,0.14,6.8
D1900201,水果類,皇宮西瓜,32,90.9,0.7,0.1,8.1,0.3,1,115,7,11,0.2,0.4,433,0.04,0.04,0.03,0.10,0.20,6.6
D1900202,水果類,紅鈴西瓜,34,90.4,0.8,0.1,8.5,0.3,2,97,6,10,0.2,0.2,680,0.05,0.04,0.05,0.24,0.15,7.0
